,PERMCO,fyear,dlrsn
8495,3275,2008,0.0
8496,3275,2009,0.0
8497,3275,2010,0.0
8498,3275,2011,0.0
8499,3275,2012,0.0
8500,3275,2013,0.0
8501,3275,2014,0.0
8502,3275,2015,0.0
8503,3275,2016,0.0
8504,3275,2017,0.0
8505,3275,2018,0.0
8506,3275,2019,0.0
8507,21303,2000,0.0
8508,21303,2001,0.0
8509,21303,2002,0.0
8510,21303,2003,0.0
8511,21303,2004,0.0
8512,21303,2005,0.0
8513,21303,2006,0.0
8514,21303,2007,0.0
8515,21303,2008,0.0
8516,21303,2009,0.0
8517,21303,2010,0.0
8518,21303,2011,0.0
8519,21303,2012,0.0
8520,21303,2013,0.0
8521,21303,2014,0.0
8522,21303,2015,0.0
8523,21303,2016,0.0
8524,21303,2017,0.0
8525,21303,2018,0.0
8526,21303,2019,0.0
8527,3302,2000,0.0
8528,3302,2001,0.0
8529,3302,2002,0.0
8530,3302,2003,0.0
8531,3302,2004,0.0
8532,3302,2005,0.0
8533,3302,2006,0.0
8534,3302,2007,0.0
8535,3302,2008,0.0
8536,3302,2009,0.0
8537,3302,2010,0.0
8538,3302,2011,0.0
8539,3302,2012,0.0
8540,3302,2013,0.0
8541,3302,2014,0.0
8542,3302,2015,0.0
8543,3302,2016,0.0
8544,3302,2017,0.0
8545,3302,2018,0.0
8546,3302,2019,0.0
8547,3306,2000,0.0
8548,3306,2001,0.0
8549,3306,2002,0.0
8550,3306,2003,0.0
8551,3306,2004,0.0
8552,3306,2005,0.0
8553,3306,2006,0.0
8554,3306,2007,0.0
8555,3306,2008,0.0
8556,3306,2009,0.0
8557,3306,2010,0.0
8558,3306,2011,0.0
8559,3306,2012,0.0
8560,3306,2013,0.0
8561,3306,2014,0.0
8562,3306,2015,0.0
